item_id,shop_type,total_occurrences,first_seen,last_seen,recent_timestamps,average_interval_ms,estimated_next_timestamp,average_quantity,last_quantity,rate_per_day,total_quantity
StrawScarecrow,decor,24,1760587327716,1770148875009,[],415719447,1770564594456,1.00,1,0.22,24
StringLights,seed,836,1766170857974,1770192070745,[],4815823,1770196886568,2.00,2,17.96,1672
Sunflower,seed,485,1756107311274,1770159069574,[],29032558,1770188102132,1.78,2,2.98,740
Tomato,seed,16442,1756085108414,1770195060391,[],858217,1770195918608,2.29,2,100.68,32902
UncommonEgg,egg,6203,1756085408613,1770187567139,[],2273808,1770189840947,1.00,1,38.00,6203
VioletCort,seed,152,1769214064509,1770195060391,[],6496661,1770201557052,4.72,3,13.39,890
Watermelon,seed,5954,1756085710131,1770195060391,[],2370124,1770197430515,3.56,3,36.46,20886
WoodArch,decor,2762,1760198541004,1770192070745,[],3619532,1770195690277,2.00,2,23.88,5524
WoodBench,decor,2762,1760198541004,1770192070745,[],3619532,1770195690277,2.00,2,23.88,5524
WoodBirdhouse,seed,272,1760223707638,1770177675860,[],36730510,1770214406370,1.00,1,2.36,272
WoodBridge,decor,684,1760223707638,1770170477004,[],14563351,1770185040355,2.00,2,5.94,1368
WoodCaribou,decor,1,1766170857974,1766170857974,[],,,1.00000000000000000000,1,,1
WoodLampPost,decor,657,1760198541004,1770181271544,[],15217577,1770196489121,1.00,1,5.69,657
WoodOwl,seed,272,1760241719594,1770051680426,[],36199117,1770087879543,1.00,1,2.40,272
WoodPergola,decor,133,1769216475293,1770188479999,[],7363672,1770195843671,2.00,2,11.82,266
WoodWindmill,decor,83,1764302443324,1770127268677,[],71034455,1770198303132,1.00,1,1.23,83
